sequence_id,coeff_0,coeff_1,coeff_2,coeff_3,param_0,param_1,param_2,param_3,sequence_path
9643,0.4311,0.2945,0.1126,0.1618,-1.0,0.1877,0.1533,2.2199,/home/users/gangus/data_06-19-19_processed/sequence_9643.npy
17925,0.127,0.4349,0.3889,0.0493,-1.0,0.2576,0.1611,9.8808,/home/users/gangus/data_06-19-19_processed/sequence_17925.npy
1643,0.2651,0.2887,0.147,0.2992,-1.0,0.1335,0.3403,3.9597,/home/users/gangus/data_06-19-19_processed/sequence_1643.npy
9671,0.2078,0.3744,0.162,0.2558,-1.0,0.7509,0.8978,6.0126,/home/users/gangus/data_06-19-19_processed/sequence_9671.npy
16861,0.0218,0.0799,0.5755,0.3228,-1.0,0.3036,0.3336,5.1906,/home/users/gangus/data_06-19-19_processed/sequence_16861.npy
7383,0.4494,0.2389,0.1942,0.1175,-1.0,0.5424,0.1063,5.0769,/home/users/gangus/data_06-19-19_processed/sequence_7383.npy
15326,0.3003,0.0082,0.2262,0.4653,-1.0,0.7141,0.6294,8.6558,/home/users/gangus/data_06-19-19_processed/sequence_15326.npy
7783,0.2312,0.1667,0.3099,0.2922,-1.0,0.5728,0.2722,9.3977,/home/users/gangus/data_06-19-19_processed/sequence_7783.npy
7087,0.2639,0.4872,0.033,0.2159,-1.0,0.3676,0.6229,8.3647,/home/users/gangus/data_06-19-19_processed/sequence_7087.npy
6398,0.3517,0.4119,0.025,0.2113,-1.0,0.6602,0.3611,6.0892,/home/users/gangus/data_06-19-19_processed/sequence_6398.npy
15951,0.2975,0.4784,0.1594,0.0647,-1.0,0.6032,0.306,5.9366,/home/users/gangus/data_06-19-19_processed/sequence_15951.npy
2003,0.3339,0.2254,0.3916,0.0491,-1.0,0.3687,0.5043,9.3572,/home/users/gangus/data_06-19-19_processed/sequence_2003.npy
3082,0.2521,0.0709,0.5154,0.1616,-1.0,0.8621,0.2325,7.8784,/home/users/gangus/data_06-19-19_processed/sequence_3082.npy
1007,0.133,0.3228,0.2797,0.2646,-1.0,0.4046,0.9976,7.9005,/home/users/gangus/data_06-19-19_processed/sequence_1007.npy
19369,0.3312,0.0805,0.2334,0.3549,-1.0,0.447,0.816,5.6884,/home/users/gangus/data_06-19-19_processed/sequence_19369.npy
147,0.017,0.1986,0.628,0.1564,-1.0,0.4733,0.6254,3.6415,/home/users/gangus/data_06-19-19_processed/sequence_147.npy
577,0.0141,0.2677,0.4367,0.2815,-1.0,0.198,0.21899999999999997,2.9903,/home/users/gangus/data_06-19-19_processed/sequence_577.npy
4484,0.3154,0.4298,0.1205,0.1342,-1.0,0.2226,0.307,6.5039,/home/users/gangus/data_06-19-19_processed/sequence_4484.npy
2434,0.2055,0.1426,0.1198,0.5321,-1.0,0.5046,0.6257,2.0504,/home/users/gangus/data_06-19-19_processed/sequence_2434.npy
6037,0.2398,0.2119,0.2715,0.2769,-1.0,0.2586,0.5007,1.706,/home/users/gangus/data_06-19-19_processed/sequence_6037.npy
10910,0.1513,0.2324,0.0274,0.589,-1.0,0.3547,0.6201,5.3453,/home/users/gangus/data_06-19-19_processed/sequence_10910.npy
13094,0.374,0.0787,0.0835,0.4638,-1.0,0.3957,0.5843,9.0234,/home/users/gangus/data_06-19-19_processed/sequence_13094.npy
4554,0.3976,0.0456,0.495,0.0618,-1.0,0.474,0.1711,1.3663,/home/users/gangus/data_06-19-19_processed/sequence_4554.npy
15575,0.2845,0.3043,0.1136,0.2976,-1.0,0.7699,0.6491,7.7992,/home/users/gangus/data_06-19-19_processed/sequence_15575.npy
4571,0.4392,0.2887,0.0595,0.2126,-1.0,0.327,0.1336,5.9435,/home/users/gangus/data_06-19-19_processed/sequence_4571.npy
15750,0.2799,0.0949,0.2813,0.344,-1.0,0.6554,0.6006,2.6003,/home/users/gangus/data_06-19-19_processed/sequence_15750.npy
10849,0.1111,0.0213,0.3979,0.4697,-1.0,0.2657,0.7791,6.5741,/home/users/gangus/data_06-19-19_processed/sequence_10849.npy
