,time,train__average_mean_squared_error,train_coeff_0_mean_squared_error,train_coeff_1_mean_squared_error,train_coeff_2_mean_squared_error,train_coeff_3_mean_squared_error,valid__average_coeff_mse,valid_coeff_0_coeff_mse,valid_coeff_1_coeff_mse,valid_coeff_2_coeff_mse,valid_coeff_3_coeff_mse,learning_rate
0,23:53:05 2019-07-06,1.8964924812316895,2.180858850479126,4.271649360656738,0.5646340250968933,0.5688281655311584,0.010375198908150196,0.0020941533148288727,0.009330220520496368,0.018615933135151863,0.011460489593446255,0.0001
1,23:56:31 2019-07-06,0.007078162394464016,0.001488716108724475,0.002511196071282029,0.01162876095622778,0.012683975510299206,0.0061016809195280075,0.0008025996503420174,0.0012529677478596568,0.010581644251942635,0.011769511736929417,0.0001
2,00:01:32 2019-07-07,0.006304103881120682,0.0016559446230530739,0.002007315633818507,0.0106783676892519,0.010874788276851177,0.007354251109063625,0.0029037902131676674,0.00251204171217978,0.011091974563896656,0.012909198179841042,0.0001
3,00:04:37 2019-07-07,0.0062342071905732155,0.0015356362564489245,0.0020966639276593924,0.010504881851375103,0.010799645446240902,0.0055462270975112915,0.0009776689112186432,0.001273605739697814,0.009455105289816856,0.010478528216481209,0.0001
4,00:09:05 2019-07-07,0.005678165704011917,0.0011651975801214576,0.0013534135650843382,0.009781602770090103,0.010412449017167091,0.005661092232912779,0.001311774947680533,0.00164834747556597,0.00961752887815237,0.010066717863082886,5e-05
5,00:12:13 2019-07-07,0.005774929188191891,0.0011992171639576554,0.0014560110867023468,0.009857559576630592,0.010586929507553577,0.005833870731294155,0.0009241917869076133,0.001369898789562285,0.009974679909646511,0.011066711507737637,5e-05
6,00:15:18 2019-07-07,0.005759174469858408,0.0011966711608693004,0.0015250180149450898,0.009815145283937454,0.0104998629540205,0.005804713349789381,0.0012840296840295196,0.0018395091174170375,0.009474695660173893,0.010620619170367718,5e-05
7,00:18:36 2019-07-07,0.005703513976186514,0.0011869581649079919,0.0015680703800171614,0.00971904955804348,0.010339977219700813,0.006278146058320999,0.0012820392148569226,0.0016771955415606499,0.010769321583211422,0.01138402707874775,5e-05
8,00:21:41 2019-07-07,0.0055980863980948925,0.0011684222845360637,0.0014015052001923323,0.009612600319087505,0.010209817439317703,0.005449386313557625,0.0011174139799550176,0.001188470982015133,0.009478418156504631,0.010013243183493614,2.5e-05
9,00:25:05 2019-07-07,0.005583310499787331,0.001156711601652205,0.0013807822251692414,0.009592668153345585,0.01020308118313551,0.0055398354306817055,0.0009866835316643119,0.0013542849337682128,0.009554180316627026,0.010264191776514053,2.5e-05
10,00:28:05 2019-07-07,0.005626413505524397,0.0011825356632471085,0.0014925117138773203,0.009659362956881523,0.01017124392092228,0.005475067533552647,0.0009970570681616664,0.0013485648669302464,0.009650245308876038,0.009904402308166027,2.5e-05
11,00:31:00 2019-07-07,0.0056892456486821175,0.0012258670758455992,0.0016198608791455626,0.009686971083283424,0.010224283672869205,0.005827311426401138,0.0014566065510734916,0.0017513181082904339,0.009848752990365028,0.010252567939460278,2.5e-05
12,00:33:57 2019-07-07,0.0054725101217627525,0.0011473140912130475,0.0012832225766032934,0.009442227892577648,0.010017274878919125,0.005312892142683268,0.0009605919476598501,0.0012269122526049614,0.009313150309026241,0.009750913828611374,1.25e-05
13,00:37:16 2019-07-07,0.005496804602444172,0.0011530985357239842,0.0013143999967724085,0.00949215330183506,0.0100275669246912,0.005389335565268993,0.0011160236317664385,0.0011840194929391146,0.0091010183095932,0.010156280361115932,1.25e-05
14,00:40:13 2019-07-07,0.005417715758085251,0.001138451974838972,0.0012433362426236272,0.009370347484946251,0.009918727912008762,0.005443508271127939,0.000970591907389462,0.0012342567788437009,0.009582762606441975,0.009986422024667263,1.25e-05
